metric,value,unit
window_duration_ms,50.0,ms
avg_inference_ms,2.474,ms
realtime_headroom_x,20.21,x
is_realtime,True,
ann_macs_per_sample,40294400,MACs
snn_input_macs,512000,MACs
snn_synops,11157828,SynOps
operation_reduction_x,3.45,x
ann_energy_nj,185354.24,nJ
snn_energy_nj,12397.25,nJ
energy_savings_x,14.95,x
firing_rate_lif1_%,26.14,%
sparsity_lif1_%,73.86,%
avg_spikes_lif1,13382.1,spikes/sample
firing_rate_lif2_%,31.53,%
sparsity_lif2_%,68.47,%
avg_spikes_lif2,16141.1,spikes/sample
firing_rate_lif3_%,37.78,%
sparsity_lif3_%,62.22,%
avg_spikes_lif3,9671.5,spikes/sample
firing_rate_lif_out_%,67.11,%
sparsity_lif_out_%,32.89,%
avg_spikes_lif_out,1208.0,spikes/sample
