patient_file,overall_acc_%,active_acc_%,latency_ms_per_sample
S1_A1_E2.mat,84.46,76.34,0.1058
S1_A1_E2.mat,84.70,78.23,0.1441
S2_A1_E2.mat,85.86,81.04,0.0051
S3_A1_E2.mat,81.78,75.77,0.0064
S4_A1_E2.mat,80.44,71.75,0.0320
S5_A1_E2.mat,71.10,69.58,0.0336
S6_A1_E2.mat,70.37,75.93,0.0289
S7_A1_E2.mat,76.14,69.79,0.0059
S8_A1_E2.mat,83.35,78.30,0.0052
S9_A1_E2.mat,74.19,72.27,0.0306
S10_A1_E2.mat,79.25,74.93,0.0048
S11_A1_E2.mat,78.65,73.72,0.0296
S12_A1_E2.mat,84.13,75.64,0.0267
S13_A1_E2.mat,78.67,68.81,0.0054
S14_A1_E2.mat,81.74,75.32,0.0059
S15_A1_E2.mat,80.28,64.02,0.0274
S16_A1_E2.mat,81.89,65.54,0.0060
S17_A1_E2.mat,79.98,73.22,0.0292
S18_A1_E2.mat,71.00,63.36,0.0057
S19_A1_E2.mat,75.47,72.42,0.0056
S20_A1_E2.mat,84.54,73.84,0.0056
S22_A1_E2.mat,80.14,79.23,0.0312
S23_A1_E2.mat,71.25,78.76,0.0059
S24_A1_E2.mat,84.38,79.18,0.0062
S26_A1_E2.mat,86.31,82.46,0.0062
S27_A1_E2.mat,69.98,72.51,0.0072
