Window_Size,Density_Layers,Peak_Val_Acc_%,Inference_Latency_ms
40,512-256-256,66.34,29.5513
40,512-256-128,66.69,30.4150
40,512-128-128,64.27,29.8702
40,256-256-128,64.70,30.2641
40,256-128-128,63.84,30.2478
50,512-256-256,67.09,37.4633
50,512-256-128,71.46,37.6526
50,512-128-128,72.75,37.4694
50,256-256-128,68.30,37.5543
50,256-128-128,70.29,37.2515
60,512-256-256,76.73,52.4843
60,512-256-128,70.79,44.9222
60,512-128-128,70.29,45.0462
60,256-256-128,71.93,44.6668
60,256-128-128,73.92,46.6840
70,512-256-256,76.73,52.3791
70,512-256-128,76.81,52.5527
70,512-128-128,75.91,52.4275
70,256-256-128,78.84,52.3335
70,256-128-128,73.14,52.3891
