patient_file,overall_acc_%,active_acc_%,latency_ms_per_sample
===(new result)====
S1_A1_E2.mat,82.13,74.76,0.4842
S2_A1_E2.mat,78.62,74.73,0.3068
S3_A1_E2.mat,79.67,73.31,0.3095
S4_A1_E2.mat,74.39,64.54,0.3222
S5_A1_E2.mat,58.74,67.08,0.3252
S6_A1_E2.mat,65.28,75.93,0.3254
S7_A1_E2.mat,74.39,67.97,0.3170
S8_A1_E2.mat,79.74,72.73,0.3157
S9_A1_E2.mat,73.37,70.13,0.3327
S10_A1_E2.mat,76.69,71.27,0.3230
S11_A1_E2.mat,75.41,70.47,0.3279
S12_A1_E2.mat,77.71,72.52,0.3326
S13_A1_E2.mat,78.90,66.78,0.3269
S14_A1_E2.mat,79.65,71.76,0.3208
S15_A1_E2.mat,76.01,60.32,0.3280
S16_A1_E2.mat,79.21,58.45,0.3211
S17_A1_E2.mat,78.25,68.66,0.3305
S18_A1_E2.mat,58.35,57.58,0.3207
S19_A1_E2.mat,70.79,63.66,0.3193
S20_A1_E2.mat,80.85,65.12,0.3167
S22_A1_E2.mat,77.37,75.13,0.3329
S23_A1_E2.mat,71.02,73.83,0.3201
S24_A1_E2.mat,81.71,72.33,0.3236
S26_A1_E2.mat,82.28,82.75,0.3172
S27_A1_E2.mat,62.15,63.61,0.3253
===
S1_A1_E2.mat,82.83,71.92,0.4982
S1_A1_E2.mat,82.83,71.92,35.4932
S1_A1_E2.mat,82.83,71.92,0.2816
S1_A1_E2.mat,82.83,71.92,0.3312
S1_A1_E2.mat,82.83,71.92,0.2794
S1_A1_E2.mat,82.83,71.92,0.1403
S1_A1_E2.mat,82.83,71.92,0.2918
S1_A1_E2.mat,82.83,71.92,0.3257
S1_A1_E2.mat,82.83,71.92,0.1400
