epoch,train_loss,train_acc,val_loss,val_acc,lr
0,40.1194,7.03,35.5494,5.36,0.001000
1,30.2641,25.26,14.5007,43.56,0.000999
2,10.4465,41.41,6.1954,55.66,0.000998
3,4.1393,49.35,2.7305,62.58,0.000996
4,2.2906,53.78,2.2745,64.32,0.000994
5,1.7212,60.29,2.5376,54.24,0.000991
6,1.7633,59.51,2.3622,58.39,0.000988
7,1.6848,60.68,2.3226,59.95,0.000985
8,1.5407,63.02,2.3323,61.19,0.000981
9,1.5191,62.24,2.0975,65.52,0.000976
10,1.5482,63.80,1.7021,67.12,0.000971
11,1.3502,66.15,2.0751,68.11,0.000966
12,1.3301,66.28,2.0670,68.29,0.000960
13,1.2965,66.93,1.8241,67.72,0.000953
14,1.2155,68.75,1.4392,71.27,0.000947
15,1.1908,69.01,1.7935,69.92,0.000939
16,1.2272,68.75,1.3529,69.88,0.000932
17,1.1625,68.75,1.4968,70.70,0.000924
18,1.2197,69.01,1.7300,68.89,0.000915
19,1.1202,69.79,1.6044,71.09,0.000906
20,1.0864,71.48,1.8978,69.49,0.000897
21,1.0899,71.35,1.5681,70.49,0.000887
22,1.1714,69.14,1.4078,71.45,0.000877
23,1.2199,69.27,1.3082,69.25,0.000867
24,1.0686,71.09,1.6421,70.10,0.000856
25,1.0725,70.83,1.3913,71.48,0.000845
26,1.0704,71.09,1.3945,73.43,0.000834
27,1.0889,69.53,1.4267,74.85,0.000822
28,1.0954,69.92,1.3335,73.25,0.000810
29,1.0170,71.74,1.3441,73.86,0.000798
30,1.0353,72.53,1.3266,74.85,0.000785
31,1.0291,73.83,1.3299,73.68,0.000772
32,0.9942,73.05,1.2821,75.84,0.000759
33,1.0368,73.44,1.3863,73.08,0.000745
34,1.0816,72.66,1.5032,73.25,0.000732
35,1.0923,72.14,1.4943,72.08,0.000718
36,1.0614,72.53,1.5106,72.47,0.000704
37,0.9549,74.61,1.3257,74.07,0.000690
38,0.9935,72.14,1.2419,74.07,0.000675
39,0.9785,74.87,1.4059,75.06,0.000660
40,1.0013,74.09,1.4899,72.47,0.000646
41,1.0384,72.79,1.4159,75.84,0.000631
42,1.0039,73.31,1.1941,76.23,0.000616
43,1.0582,73.96,1.3325,75.45,0.000600
44,1.0174,75.13,1.3138,72.86,0.000585
45,0.8896,76.69,1.1899,78.61,0.000570
46,0.9359,74.48,1.2181,75.66,0.000554
47,0.9325,75.78,1.4537,73.11,0.000539
48,0.9780,74.35,1.2439,76.84,0.000523
49,0.9405,75.39,1.1043,79.25,0.000508
50,0.9061,75.00,1.0826,79.21,0.000492
51,0.8892,77.34,1.2426,76.87,0.000477
52,0.8509,78.78,1.4319,78.19,0.000461
53,0.7879,78.91,1.1383,78.01,0.000446
54,0.9003,76.82,1.7108,79.42,0.000430
55,0.8224,78.91,1.4676,78.64,0.000415
56,0.8421,79.04,1.2334,82.40,0.000400
57,0.8484,78.12,1.3244,80.03,0.000384
58,0.7475,80.60,1.0129,81.23,0.000369
59,0.7321,80.86,1.0821,80.24,0.000354
60,0.7564,80.34,1.0317,81.41,0.000340
61,0.7424,79.56,1.0996,79.07,0.000325
62,0.7429,79.69,0.9883,83.36,0.000310
63,0.7096,81.38,1.2119,81.59,0.000296
64,0.6973,81.77,1.1081,81.02,0.000282
65,0.7090,81.12,1.0411,82.22,0.000268
66,0.6873,82.03,1.0870,82.61,0.000255
67,0.6765,81.90,1.0739,80.63,0.000241
68,0.6468,82.16,1.1323,80.81,0.000228
69,0.6737,81.25,1.0609,81.23,0.000215
70,0.6900,81.51,1.0303,82.01,0.000202
71,0.6834,82.29,1.0661,81.41,0.000190
72,0.6594,82.16,1.0806,80.42,0.000178
73,0.7066,79.56,1.1511,80.21,0.000166
74,0.6501,83.07,1.1552,82.19,0.000155
75,0.6500,80.08,1.0437,82.22,0.000144
76,0.6990,81.51,0.9383,82.40,0.000133
77,0.6277,82.94,0.9410,81.62,0.000123
