epoch,train_loss,train_acc,val_loss,val_acc,lr,val_lat_ms
0,2.1445,39.61,1.1557,58.93,0.001000,0.4945
1,1.0808,60.34,0.9025,65.72,0.000999,0.4939
2,0.9121,66.25,0.7962,70.17,0.000998,0.4858
3,0.8120,68.70,0.8073,67.42,0.000996,0.4866
4,0.7327,70.89,0.7310,70.77,0.000994,0.4789
5,0.6847,72.29,0.6888,72.06,0.000991,0.4960
6,0.6531,73.23,0.5622,77.72,0.000988,0.4960
7,0.6286,74.84,0.7252,67.08,0.000985,0.5084
8,0.6159,74.59,0.6613,73.45,0.000981,0.4982
9,0.5602,76.10,0.4861,80.53,0.000976,0.4801
10,0.5328,78.03,0.5552,75.25,0.000971,0.4950
11,0.4868,79.04,0.4573,81.96,0.000966,0.5010
12,0.4895,79.25,0.4817,78.59,0.000960,0.4948
13,0.4746,79.27,0.4534,80.78,0.000953,0.5069
14,0.4334,81.89,0.4019,83.00,0.000947,0.5125
15,0.4370,80.95,0.4490,78.73,0.000939,0.5328
16,0.4387,81.30,0.4192,81.39,0.000932,0.4986
17,0.4135,82.08,0.4535,78.78,0.000924,0.4870
18,0.4015,82.33,0.4402,80.80,0.000915,0.4906
19,0.3734,83.52,0.4107,82.08,0.000906,0.4908
20,0.3680,83.75,0.4105,82.17,0.000897,0.5240
21,0.3868,83.25,0.3857,82.27,0.000887,0.4905
22,0.3469,84.83,0.3556,84.89,0.000877,0.5576
23,0.3445,84.93,0.3823,82.22,0.000867,0.5002
24,0.3447,84.47,0.3549,83.66,0.000856,0.4979
25,0.3233,85.43,0.4071,81.73,0.000845,0.5018
26,0.3094,85.94,0.3278,85.52,0.000834,0.4944
27,0.3224,85.41,0.3762,83.14,0.000822,0.4820
28,0.3021,86.24,0.3519,84.06,0.000810,0.4971
29,0.3012,86.53,0.3293,85.21,0.000798,0.4881
30,0.3017,86.08,0.2934,86.40,0.000785,0.4937
31,0.2794,86.99,0.2767,86.84,0.000772,0.5155
32,0.2809,87.39,0.3726,81.96,0.000759,0.5490
33,0.2903,86.53,0.3857,81.99,0.000745,0.5068
34,0.2873,86.86,0.3077,85.78,0.000732,0.4692
35,0.2757,87.78,0.3689,83.90,0.000718,0.5417
36,0.2805,87.36,0.3553,85.00,0.000704,0.4993
37,0.2761,87.41,0.3266,84.81,0.000690,0.4572
38,0.2612,88.03,0.2853,87.08,0.000675,0.4707
39,0.2371,88.83,0.2604,87.57,0.000660,0.5346
40,0.2466,88.44,0.2182,90.85,0.000646,0.4948
41,0.2311,89.13,0.2425,88.21,0.000631,0.4635
42,0.2334,89.48,0.2501,88.80,0.000616,0.4859
43,0.2137,89.91,0.2853,86.96,0.000600,0.4465
44,0.2156,89.68,0.2793,87.29,0.000585,0.4407
45,0.2267,89.64,0.2802,87.72,0.000570,0.4538
46,0.2159,89.82,0.2775,87.93,0.000554,0.4679
47,0.2244,89.50,0.3063,84.70,0.000539,0.4610
48,0.2282,89.22,0.2551,87.86,0.000523,0.5270
49,0.1917,90.44,0.2596,88.37,0.000508,0.4695
50,0.2147,89.71,0.2748,85.66,0.000492,0.4562
51,0.2024,90.44,0.2460,88.52,0.000477,0.4564
52,0.2091,90.05,0.2189,90.12,0.000461,0.4527
53,0.2083,90.46,0.2667,86.47,0.000446,0.4762
54,0.2024,89.77,0.2422,88.99,0.000430,0.4686
55,0.1786,91.41,0.2297,87.97,0.000415,0.4695
56,0.2007,89.94,0.2021,90.09,0.000400,0.4630
57,0.1926,90.65,0.2208,88.97,0.000384,0.4632
58,0.1992,90.33,0.2322,88.31,0.000369,0.4470
59,0.1891,91.02,0.2022,90.33,0.000354,0.4617
60,0.1741,90.72,0.2317,87.69,0.000340,0.4521
