epoch,train_loss,train_acc,val_loss,val_acc,lr
0,31.2830,4.22,29.9437,26.88,0.001000
1,21.8282,29.84,13.6672,35.37,0.000999
2,8.3393,42.50,4.2006,55.80,0.000998
3,3.0857,53.91,2.9912,62.09,0.000996
4,2.2087,64.69,3.0081,57.32,0.000994
5,1.7247,69.38,2.6115,61.52,0.000991
6,1.3866,72.81,2.1280,64.44,0.000988
7,1.2830,73.28,1.6441,69.81,0.000985
8,1.1223,73.59,1.3423,68.78,0.000981
9,1.1029,72.81,1.6591,67.85,0.000976
10,0.9732,75.16,1.1482,70.98,0.000971
11,0.9655,75.47,1.3251,68.78,0.000966
12,0.8929,75.94,1.0501,75.22,0.000960
13,0.8879,77.03,1.0255,76.29,0.000953
14,0.8765,79.22,1.0960,74.54,0.000947
15,0.9585,75.94,1.0841,74.58,0.000939
16,0.8613,78.91,1.8230,71.27,0.000932
17,0.8131,80.47,1.0634,74.29,0.000924
18,0.8312,78.91,0.9761,77.03,0.000915
19,0.7699,81.25,1.0720,74.68,0.000906
20,0.7868,80.62,1.2228,74.54,0.000897
21,0.7444,80.94,1.0237,74.54,0.000887
22,0.7391,81.72,0.9729,76.24,0.000877
23,0.7639,80.00,1.0801,76.00,0.000867
24,0.7761,80.62,0.9034,78.49,0.000856
25,0.7592,81.72,1.0321,73.61,0.000845
26,0.7204,82.81,1.0203,74.00,0.000834
27,0.6901,82.50,0.9497,76.49,0.000822
28,0.6655,83.91,0.9550,77.56,0.000810
29,0.6985,81.56,0.9548,76.63,0.000798
30,0.6470,83.28,0.9383,76.24,0.000785
31,0.6182,83.59,1.0006,75.71,0.000772
32,0.6039,85.94,0.9126,77.56,0.000759
33,0.6868,84.38,0.9309,77.56,0.000745
34,0.8352,82.03,0.8969,79.41,0.000732
35,0.6395,86.41,1.0332,77.56,0.000718
36,0.6052,86.09,1.1216,77.56,0.000704
37,0.6595,86.09,1.2046,75.71,0.000690
38,0.5878,84.69,0.9079,78.10,0.000675
39,0.6201,85.47,0.8556,79.41,0.000660
40,0.6356,86.41,0.9144,78.49,0.000646
41,0.6461,85.16,0.9688,77.95,0.000631
42,0.7142,82.97,1.1736,77.17,0.000616
43,0.5703,86.72,1.0874,79.66,0.000600
44,0.5956,86.09,0.8716,78.39,0.000585
45,0.6103,85.78,0.9196,79.27,0.000570
46,0.6179,83.12,0.8306,80.44,0.000554
47,0.5769,86.88,1.2202,77.95,0.000539
48,0.5904,86.72,0.9354,79.95,0.000523
49,0.6199,85.16,1.0579,79.95,0.000508
50,0.5903,87.34,1.3466,75.71,0.000492
51,0.5903,85.94,0.9814,76.39,0.000477
52,0.5978,85.00,0.9710,74.78,0.000461
53,0.5926,86.41,1.0430,73.32,0.000446
54,0.5767,86.41,0.9209,75.71,0.000430
55,0.5505,86.25,0.9851,79.66,0.000415
56,0.5381,88.44,0.8982,80.34,0.000400
57,0.5747,86.88,0.9967,76.63,0.000384
58,0.5460,86.09,0.8096,81.12,0.000369
59,0.5027,86.56,0.7816,80.58,0.000354
60,0.5278,85.62,0.7887,80.83,0.000340
61,0.5323,86.25,0.7998,79.80,0.000325
62,0.4950,87.66,0.8196,81.12,0.000310
63,0.5029,85.00,0.8529,80.58,0.000296
64,0.5104,86.25,0.8564,80.44,0.000282
65,0.5302,85.00,0.9957,75.46,0.000268
66,0.4661,88.12,0.8345,80.19,0.000255
67,0.4327,89.38,0.8778,77.56,0.000241
68,0.4264,88.91,1.0103,79.51,0.000228
69,0.4636,88.59,0.8941,79.12,0.000215
70,0.4661,87.97,0.9247,78.88,0.000202
71,0.4514,88.12,0.7761,82.15,0.000190
72,0.4490,87.97,0.7408,81.61,0.000178
73,0.4444,88.12,0.8742,77.03,0.000166
74,0.4228,89.06,0.7760,78.34,0.000155
75,0.4107,88.91,0.8573,80.44,0.000144
76,0.4085,89.84,1.0102,77.42,0.000133
77,0.3983,89.06,0.8186,79.51,0.000123
78,0.4360,87.97,0.8057,79.27,0.000113
79,0.4415,88.44,0.8600,79.51,0.000103
80,0.4356,87.34,0.7882,77.52,0.000094
81,0.4183,88.12,0.7355,80.83,0.000085
82,0.4323,88.75,0.8566,80.44,0.000076
83,0.4201,89.22,1.0236,77.81,0.000068
84,0.4060,89.53,0.7826,80.30,0.000061
85,0.3952,89.06,0.8397,80.05,0.000053
86,0.3612,89.69,0.8786,79.90,0.000047
